"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"89-58-53-71","1",1,700000,56,1,1,11103.974609375,"Hombre",700000
"47-89-72-88","1",1,NA,65,1,1,4673.97998046875,"Hombre",401500
"93-44-94-18","1",1,740000,25,1,1,2207.83740234375,"Hombre",740000
"10-66-09-80","1",1,700000,58,1,2,1343.19555664062,"Hombre",700000
"65-11-17-66","1",1,300000,49,1,1,1128.30895996094,"Hombre",300000
"17-71-30-01","1",1,2100000,33,2,2,2797.75634765625,"Hombre",2100000
"59-47-64-38","1",1,300000,49,1,2,2677.28881835938,"Hombre",300000
"27-82-20-35","1",1,NA,69,1,1,2450.2578125,"Hombre",401500
"32-30-93-86","1",1,NA,74,1,1,1775.19946289062,"Hombre",401500
"59-99-53-60","1",1,100000,51,1,1,478.950500488281,"Hombre",100000
"72-41-84-79","1",1,650000,36,1,1,3955.6787109375,"Hombre",650000
"85-79-38-14","1",1,NA,65,1,1,4318.01953125,"Hombre",401500
"57-83-79-22","1",1,NA,75,1,1,1287.58483886719,"Hombre",401500
"79-33-93-75","1",1,NA,67,1,1,777.192199707031,"Hombre",401500
"47-31-07-38","1",1,800000,26,1,1,3972.60815429688,"Hombre",800000
"84-22-48-81","1",1,NA,80,1,1,880.74560546875,"Hombre",401500
"51-91-01-99","1",1,NA,45,1,1,3929.23193359375,"Hombre",401500
"58-49-51-15","1",1,2000000,61,1,1,889.047180175781,"Hombre",2000000
"05-66-59-02","1",1,180000,26,1,1,2602.158203125,"Hombre",180000
"69-87-56-59","1",1,1300000,33,1,1,1003.62475585938,"Hombre",1300000
"16-37-35-13","1",1,350000,29,1,1,1184.08093261719,"Hombre",350000
"63-11-09-05","1",1,500000,28,1,2,716.010681152344,"Hombre",500000
"54-64-34-78","1",1,NA,56,1,1,1786.69995117188,"Hombre",401500
"76-42-14-25","1",1,600000,67,1,1,1818.48107910156,"Hombre",600000
"91-98-31-57","1",1,500000,28,1,1,1486.85388183594,"Hombre",500000
"69-82-35-11","1",1,301000,24,1,1,3202.96264648438,"Hombre",301000
"60-94-68-72","1",1,NA,50,1,1,2341.673828125,"Hombre",401500
"71-48-43-37","2",1,1700000,39,1,2,1868.72644042969,"Hombre",1700000
"71-96-45-25","2",1,-999,48,1,1,22092.56640625,"Hombre",401500
"59-08-33-32","2",1,1200000,57,1,2,2588.68115234375,"Hombre",1200000
"52-11-30-34","2",1,NA,20,1,2,7465.82421875,"Hombre",401500
"78-21-66-27","2",1,NA,65,1,1,6016.2109375,"Hombre",401500
"55-97-93-05","2",1,NA,26,1,1,3686.97924804688,"Hombre",401500
"09-87-29-59","2",1,120000,34,1,1,33640.32421875,"Hombre",120000
"46-26-18-40","2",1,NA,19,1,1,10943.9716796875,"Hombre",401500
"02-71-80-63","2",1,NA,61,1,1,4701.73193359375,"Hombre",401500
"94-94-48-70","2",1,4000000,40,1,1,4584.525390625,"Hombre",4000000
"18-57-43-44","2",1,NA,21,1,1,17107.400390625,"Hombre",401500
"15-42-56-19","2",1,NA,75,1,1,934.764221191406,"Hombre",401500
"95-05-08-92","2",1,500000,69,1,1,5933,"Hombre",500000
"82-99-88-97","2",1,650000,21,1,1,4894.85888671875,"Hombre",650000
"11-98-71-03","2",1,NA,76,1,1,3410.82202148438,"Hombre",401500
"71-14-96-39","2",1,1000000,28,1,2,12219.1455078125,"Hombre",1000000
"29-45-01-85","2",1,500000,30,1,1,3107.01342773438,"Hombre",500000
"70-76-98-77","2",1,800000,29,1,1,2146.41088867188,"Hombre",800000
"59-77-19-37","2",1,-999,59,1,1,2286.21240234375,"Hombre",401500
"88-43-70-14","2",1,350000,42,1,2,3866.69580078125,"Hombre",350000
"78-74-32-98","2",1,NA,50,1,1,3734.29150390625,"Hombre",401500
"84-81-56-39","2",1,100000,60,1,1,1798.75378417969,"Hombre",100000
"91-27-84-68","2",1,NA,30,1,1,3680.8505859375,"Hombre",401500
"65-44-72-15","2",1,900000,43,1,1,2139.93432617188,"Hombre",900000
"12-33-19-21","2",1,380000,60,1,1,2365.7451171875,"Hombre",380000
"24-71-51-53","3",1,NA,19,1,1,11825.0390625,"Hombre",401500
"25-19-25-10","3",1,-999,21,1,2,27851.658203125,"Hombre",401500
"04-48-41-58","3",1,500000,55,1,2,10014.2421875,"Hombre",500000
"90-18-09-35","3",1,800000,58,1,1,1527.80895996094,"Hombre",800000
"84-03-47-51","3",1,950000,68,1,1,1593.65075683594,"Hombre",950000
"07-05-09-21","3",1,315000,60,1,1,3535.77514648438,"Hombre",315000
"30-69-21-55","3",1,600000,34,1,2,6110.91064453125,"Hombre",600000
"57-31-08-27","3",1,650000,35,1,1,3468.66284179688,"Hombre",650000
"95-38-81-49","3",1,413000,57,1,1,14865.349609375,"Hombre",413000
"54-91-39-58","3",1,180000,24,2,2,12196.3564453125,"Hombre",180000
"92-07-68-86","3",1,400000,57,1,1,4303.55126953125,"Hombre",400000
"71-55-88-98","3",1,350000,66,1,1,7788.74658203125,"Hombre",350000
"55-41-94-85","3",1,NA,86,1,1,1408.9375,"Hombre",401500
"44-36-84-47","3",1,300000,55,1,2,9644.607421875,"Hombre",300000
"60-29-00-09","3",1,800000,60,1,1,5553.50390625,"Hombre",800000
"01-28-16-32","4",1,1500000,47,1,1,1942.76672363281,"Hombre",1500000
"96-88-24-36","4",1,300000,52,1,1,2483.96508789062,"Hombre",300000
"29-85-73-77","4",1,450000,28,1,1,18009.673828125,"Hombre",450000
"53-42-22-58","4",1,1000000,35,2,1,5316.60302734375,"Hombre",1000000
"06-90-29-50","4",1,450000,41,1,1,5735.0947265625,"Hombre",450000
"33-14-64-89","4",1,NA,64,1,1,3696.23974609375,"Hombre",401500
"70-62-95-41","4",1,400000,30,1,1,10805.48046875,"Hombre",400000
"78-66-84-38","4",1,-999,65,1,1,5884.111328125,"Hombre",401500
"73-94-15-50","4",1,500000,26,1,1,11145.3798828125,"Hombre",500000
"35-89-77-16","4",1,406000,62,1,1,5618.59716796875,"Hombre",406000
"31-77-39-27","4",1,325000,54,1,1,4855.39599609375,"Hombre",325000
"31-16-29-58","4",1,301000,25,1,2,12167.13671875,"Hombre",301000
"86-59-47-17","4",1,NA,53,1,1,2960.12524414062,"Hombre",401500
"66-68-41-40","4",1,220000,74,1,1,7043.37109375,"Hombre",220000
"19-59-03-75","4",1,-999,35,1,1,18892.32421875,"Hombre",401500
"02-56-84-55","4",1,700000,51,1,1,10949.1669921875,"Hombre",700000
"29-68-32-88","4",1,NA,70,1,1,7809.0244140625,"Hombre",401500
"71-21-78-59","4",1,180000,76,1,1,3426.66870117188,"Hombre",180000
"85-99-55-65","4",1,450000,71,1,1,2722.7685546875,"Hombre",450000
"09-22-93-68","4",1,NA,24,1,1,11323.466796875,"Hombre",401500
"01-89-22-10","4",1,850000,46,2,1,1140.70178222656,"Hombre",850000
"13-04-98-36","5",1,800000,55,1,1,1323.63122558594,"Hombre",800000
"32-43-47-75","5",1,NA,24,1,1,3558.37817382812,"Hombre",401500
"41-75-96-35","5",1,NA,71,1,1,2286.89038085938,"Hombre",401500
"37-31-74-46","5",1,600000,28,1,2,13779.7978515625,"Hombre",600000
"30-26-86-43","5",1,2000000,44,1,1,2968.00659179688,"Hombre",2000000
"38-26-22-93","5",1,NA,72,1,1,4350.9912109375,"Hombre",401500
"43-43-00-94","5",1,NA,76,2,1,3683.50756835938,"Hombre",401500
"53-50-63-63","5",1,450000,67,1,1,2446.47900390625,"Hombre",450000
"19-63-92-15","5",1,NA,79,1,2,1684.25646972656,"Hombre",401500
"75-11-10-00","5",1,NA,45,1,1,27914.390625,"Hombre",401500
"99-42-52-61","5",1,3000000,41,2,1,4325.5185546875,"Hombre",3000000
"49-04-70-53","5",1,250000,25,1,1,17583.15234375,"Hombre",250000
"69-87-53-70","5",1,301000,53,1,1,16437.509765625,"Hombre",301000
"98-32-33-27","5",1,NA,61,1,1,4161.9052734375,"Hombre",401500
"81-67-24-24","5",1,630000,26,1,1,4191.07470703125,"Hombre",630000
"94-85-67-96","5",1,NA,20,1,1,19319.216796875,"Hombre",401500
"47-30-89-66","5",1,-999,27,1,1,16611.908203125,"Hombre",401500
"95-68-09-05","5",1,NA,56,1,1,5218.91259765625,"Hombre",401500
"71-81-25-51","5",1,-888,21,1,2,13050.1181640625,"Hombre",401500
"10-31-48-87","5",1,500000,66,1,1,2944.67504882812,"Hombre",500000
"25-40-61-29","5",1,-888,75,1,1,25501.34765625,"Hombre",401500
"19-06-30-92","5",1,NA,72,1,1,13043.85546875,"Hombre",401500
"49-45-18-47","5",1,NA,67,1,1,9450.6220703125,"Hombre",401500
"27-64-41-66","5",1,600000,65,1,1,4888.3095703125,"Hombre",600000
"08-15-59-32","5",1,600000,43,1,1,5733.140625,"Hombre",600000
"80-77-97-44","5",1,2000000,45,2,1,6392.09814453125,"Hombre",2000000
"00-70-96-94","5",1,800000,51,1,1,12265.4716796875,"Hombre",800000
"12-24-92-01","5",1,NA,66,2,1,5132.57568359375,"Hombre",401500
"81-76-27-98","5",1,NA,78,1,1,13950.5703125,"Hombre",401500
"64-88-21-14","5",1,NA,18,1,1,20122.150390625,"Hombre",401500
"98-88-80-62","5",1,NA,27,1,1,50525.60546875,"Hombre",401500
"58-96-07-89","5",1,900000,45,1,1,8670.88671875,"Hombre",900000
"08-47-40-43","5",1,150000,29,1,2,22755.216796875,"Hombre",150000
"96-49-72-52","5",1,400000,39,1,1,52108.62890625,"Hombre",400000
"50-36-93-79","5",1,-999,72,1,1,20210.0859375,"Hombre",401500
"16-95-52-14","5",1,900000,39,1,1,8243.2587890625,"Hombre",900000
"01-00-26-64","5",1,NA,61,1,1,26028.6796875,"Hombre",401500
"17-97-25-25","5",1,600000,54,1,1,13669.4287109375,"Hombre",600000
"07-90-93-03","5",1,NA,19,1,1,38965.41796875,"Hombre",401500
"67-66-95-35","5",1,400000,63,1,1,10433.83984375,"Hombre",400000
"77-03-92-93","5",1,350000,47,1,1,32926.85546875,"Hombre",350000
"29-03-40-46","5",1,NA,73,1,1,20246.494140625,"Hombre",401500
"78-75-90-25","5",1,300000,57,1,1,18984.19140625,"Hombre",300000
"69-78-93-48","5",1,NA,70,1,1,3518.595703125,"Hombre",401500
"48-00-07-03","5",1,600000,30,1,1,7988.642578125,"Hombre",600000
"38-01-92-54","5",1,NA,83,1,1,12251.349609375,"Hombre",401500
"28-05-70-68","5",1,NA,18,1,1,15749.2705078125,"Hombre",401500
"43-13-41-48","5",1,250000,48,1,1,10772.0537109375,"Hombre",250000
"16-14-62-08","5",1,NA,82,1,1,7678.79443359375,"Hombre",401500
"77-69-10-37","5",1,-999,21,1,1,22455.3671875,"Hombre",401500
"80-22-74-16","5",1,1300000,37,1,1,3495.31372070312,"Hombre",1300000
"73-29-67-70","6",1,NA,68,1,1,3480.25024414062,"Hombre",401500
"97-64-19-11","6",1,800000,56,1,1,3073.419921875,"Hombre",800000
"80-25-61-53","6",1,280000,66,1,1,5326.2958984375,"Hombre",280000
"96-99-23-39","6",1,NA,66,1,1,5385.6640625,"Hombre",401500
"52-28-98-50","6",1,550000,26,1,1,17181.53125,"Hombre",550000
"73-66-60-37","6",1,350000,19,1,2,7319.52099609375,"Hombre",350000
"12-08-08-76","6",1,1400000,44,1,1,11352.4404296875,"Hombre",1400000
"23-23-05-90","6",1,NA,36,1,2,4254.70361328125,"Hombre",401500
"94-61-87-25","6",1,400000,24,1,2,38041.92578125,"Hombre",400000
"20-94-08-46","6",1,NA,18,1,1,29283.859375,"Hombre",401500
"89-07-46-54","6",1,-888,27,1,1,30859.658203125,"Hombre",401500
"93-67-02-88","6",1,630000,33,1,1,12028.26171875,"Hombre",630000
"85-34-99-16","6",1,950000,38,1,1,3710.794921875,"Hombre",950000
"55-65-89-50","6",1,NA,65,1,1,3762.8046875,"Hombre",401500
"03-40-51-25","6",1,0,56,1,1,10227.033203125,"Hombre",0
"88-92-35-65","6",1,300000,30,1,1,12078.91796875,"Hombre",300000
"72-15-33-63","6",1,900000,28,1,1,5695.8310546875,"Hombre",900000
"93-61-34-93","6",1,NA,20,1,1,21901.03125,"Hombre",401500
"61-83-93-62","7",1,NA,70,1,1,10983.7978515625,"Hombre",401500
"25-55-17-18","7",1,NA,23,1,1,12076.8662109375,"Hombre",401500
"30-29-46-48","7",1,-999,37,1,1,15205.720703125,"Hombre",401500
"08-31-02-84","7",1,400000,51,1,1,17981.68359375,"Hombre",400000
"96-85-58-44","7",1,1300000,33,1,2,985.13134765625,"Hombre",1300000
"26-45-28-98","7",1,NA,23,1,2,12504.3671875,"Hombre",401500
"29-69-07-60","7",1,-888,20,1,1,12077.6484375,"Hombre",401500
"50-71-12-96","7",1,990000,68,1,2,11384.326171875,"Hombre",990000
"28-31-40-50","7",1,400000,36,1,1,24809.30859375,"Hombre",400000
"78-40-67-72","7",1,580000,29,1,1,15455.1337890625,"Hombre",580000
"18-07-90-18","8",1,NA,60,1,1,8357.7431640625,"Hombre",401500
"06-28-37-35","8",1,380000,53,1,1,4547.13916015625,"Hombre",380000
"54-12-62-30","8",1,450000,67,1,1,3228.98266601562,"Hombre",450000
"70-81-75-40","8",1,NA,21,1,1,8241.52734375,"Hombre",401500
"14-32-88-43","8",1,111000,21,1,1,2637.4921875,"Hombre",111000
"45-16-07-83","8",1,400000,52,1,1,939.990539550781,"Hombre",400000
"19-50-62-92","8",1,NA,68,1,1,1368.99658203125,"Hombre",401500
"32-79-94-72","8",1,750000,28,3,3,10205.0107421875,"Hombre",750000
"39-74-95-41","8",1,NA,46,1,2,9598.85546875,"Hombre",401500
"51-61-93-11","8",1,1200000,53,1,2,2563.30932617188,"Hombre",1200000
"59-23-10-39","8",1,1100000,37,1,1,1452.51391601562,"Hombre",1100000
"55-76-57-60","8",1,500000,59,1,1,7968.9130859375,"Hombre",500000
"02-66-09-25","8",1,600000,60,1,1,8365.7724609375,"Hombre",600000
"18-69-82-30","8",1,560000,69,1,1,4379.67529296875,"Hombre",560000
"25-82-35-90","8",1,350000,57,2,1,20826.4375,"Hombre",350000
"15-77-03-02","8",1,1800000,45,1,1,4450.89453125,"Hombre",1800000
"81-11-92-97","8",1,NA,22,1,1,25947.640625,"Hombre",401500
"49-50-88-10","8",1,500000,48,1,1,21945.20703125,"Hombre",500000
"60-46-13-81","8",1,NA,46,1,1,13464.6748046875,"Hombre",401500
"98-68-13-41","8",1,400000,58,1,1,23095.404296875,"Hombre",400000
"69-27-05-39","8",1,1000000,39,1,1,6625.95654296875,"Hombre",1000000
"43-30-81-56","8",1,NA,25,2,1,14877.5458984375,"Hombre",401500
"15-77-58-66","8",1,1300000,50,1,1,31919.736328125,"Hombre",1300000
"58-43-99-49","8",1,700000,39,1,2,3617.11401367188,"Hombre",700000
"99-66-28-72","8",1,NA,23,1,1,22060.8984375,"Hombre",401500
"23-39-55-19","8",1,150000,60,1,1,5099.79345703125,"Hombre",150000
"55-92-14-13","8",1,320000,65,1,1,2363.3154296875,"Hombre",320000
"40-78-59-55","8",1,530000,61,1,1,5255.3994140625,"Hombre",530000
"52-81-16-10","8",1,650000,50,1,1,6123.4501953125,"Hombre",650000
"61-54-91-04","8",1,80000,53,1,1,14604.125,"Hombre",80000
"48-09-94-09","8",1,350000,36,1,1,4623.0927734375,"Hombre",350000
"64-09-99-55","8",1,NA,69,1,1,11134.2568359375,"Hombre",401500
"12-34-62-82","8",1,NA,79,1,1,10343.125,"Hombre",401500
"56-27-22-51","8",1,750000,48,1,1,1684.35192871094,"Hombre",750000
"10-93-32-89","8",1,900000,52,1,1,2199.39428710938,"Hombre",900000
"57-04-14-27","8",1,NA,46,1,1,6059.77490234375,"Hombre",401500
"98-21-52-17","8",1,2500000,43,1,1,12304.6923828125,"Hombre",2500000
"07-54-84-90","8",1,980000,63,1,2,2302.22387695312,"Hombre",980000
"89-12-54-00","8",1,1200000,50,1,1,4554.359375,"Hombre",1200000
"20-39-12-34","8",1,387000,50,1,3,8553.6513671875,"Hombre",387000
"87-58-92-89","8",1,900000,29,2,1,5616.14501953125,"Hombre",900000
"97-21-06-52","8",1,NA,73,2,1,5658.40966796875,"Hombre",401500
"74-89-53-96","8",1,30000,52,1,2,11582.3896484375,"Hombre",30000
"05-20-96-66","8",1,NA,53,1,1,5945.6162109375,"Hombre",401500
"96-11-00-01","9",1,0,33,1,2,8579.60546875,"Hombre",0
"88-32-50-12","9",1,1100000,45,1,2,1412.55908203125,"Hombre",1100000
"39-69-84-83","9",1,900000,45,1,1,5539.24951171875,"Hombre",900000
"96-48-91-72","9",1,750000,45,1,1,4431.05859375,"Hombre",750000
"85-15-27-63","9",1,NA,40,1,1,3006.45776367188,"Hombre",401500
"66-68-82-77","9",1,NA,62,1,1,8667.51953125,"Hombre",401500
"93-02-95-59","9",1,-888,22,1,2,21896.28125,"Hombre",401500
"71-24-10-77","9",1,2000000,80,1,1,2768.52099609375,"Hombre",2000000
"33-38-88-73","9",1,400000,49,1,1,9439.400390625,"Hombre",400000
"68-72-69-86","9",1,630000,67,1,1,15038.5478515625,"Hombre",630000
"10-93-75-12","9",1,550000,48,1,3,12008.595703125,"Hombre",550000
"73-56-41-49","9",1,NA,66,1,1,14939.4716796875,"Hombre",401500
"44-63-97-94","9",1,850000,49,1,1,4218.63525390625,"Hombre",850000
"99-57-49-10","9",1,700000,45,1,2,8606.02734375,"Hombre",700000
"43-74-31-52","9",1,1000000,36,1,1,7972.169921875,"Hombre",1000000
"60-09-74-26","9",1,360000,51,1,2,11122.23828125,"Hombre",360000
"02-69-42-60","10",1,750000,37,1,1,2998.97875976562,"Hombre",750000
"76-23-66-06","10",1,2300000,48,1,1,4859.43212890625,"Hombre",2300000
"10-74-98-66","10",1,700000,33,1,2,4787.95703125,"Hombre",700000
"65-48-77-73","10",1,-999,44,1,1,18199.40234375,"Hombre",401500
"49-40-50-84","10",1,-999,51,1,1,25528.255859375,"Hombre",401500
"23-54-71-02","10",1,300000,68,1,1,9462.728515625,"Hombre",300000
"87-19-80-37","10",1,NA,66,1,1,14834.2568359375,"Hombre",401500
"08-28-40-26","10",1,405000,24,1,2,14236.572265625,"Hombre",405000
"97-44-99-79","10",1,430000,23,1,2,6143.3544921875,"Hombre",430000
"95-82-58-05","10",1,200000,51,1,1,19286.69921875,"Hombre",200000
"01-84-56-29","10",1,NA,51,1,1,9317.6103515625,"Hombre",401500
"59-29-41-12","10",1,550000,47,1,1,13215.0751953125,"Hombre",550000
"53-76-18-26","10",1,150000,43,1,1,4824.9970703125,"Hombre",150000
"84-99-27-24","10",1,500000,29,1,1,9244.7705078125,"Hombre",500000
"30-99-58-84","10",1,NA,18,1,1,12508.2998046875,"Hombre",401500
"85-76-94-84","10",1,600000,28,1,2,17683.001953125,"Hombre",600000
"61-69-20-44","10",1,200000,19,1,1,10155.7978515625,"Hombre",200000
"18-76-79-06","10",1,800000,28,2,2,11539.3056640625,"Hombre",800000
"53-85-36-45","11",1,600000,31,1,1,1172.59020996094,"Hombre",600000
"85-61-30-17","11",1,250000,43,1,1,1200.01501464844,"Hombre",250000
"39-69-40-17","11",1,670000,28,1,1,875.530822753906,"Hombre",670000
"34-04-73-53","11",1,695000,36,1,1,381.414855957031,"Hombre",695000
"08-26-12-97","11",1,500000,68,1,1,1092.99304199219,"Hombre",500000
"74-83-91-02","11",1,-999,51,1,2,1679.77160644531,"Hombre",401500
"62-23-60-99","11",1,-999,45,1,1,1626.18579101562,"Hombre",401500
"77-02-69-72","11",1,NA,58,1,1,810.254516601562,"Hombre",401500
"20-37-36-21","11",1,750000,53,1,1,569.130249023438,"Hombre",750000
"49-38-83-93","11",1,400000,34,1,1,415.738037109375,"Hombre",400000
"66-60-63-08","11",1,NA,73,1,1,572.167114257812,"Hombre",401500
"87-15-83-75","11",1,-999,53,1,1,1084.53210449219,"Hombre",401500
"41-10-99-66","11",1,NA,70,1,1,3426.59350585938,"Hombre",401500
"32-39-05-70","11",1,500000,28,1,1,114.405738830566,"Hombre",500000
